home_team,away_team,home_score,away_score,Round,Date,Score,Host,Year,winner,result_numeric
Argentina,France,3,3,Final,2022-12-18,(4) 3–3 (2),Qatar,2022,Draw,0
Croatia,Morocco,2,1,Third-place match,2022-12-17,2–1,Qatar,2022,Croatia,1
France,Morocco,2,0,Semi-finals,2022-12-14,2–0,Qatar,2022,France,1
Argentina,Croatia,3,0,Semi-finals,2022-12-13,3–0,Qatar,2022,Argentina,1
Morocco,Portugal,1,0,Quarter-finals,2022-12-10,1–0,Qatar,2022,Morocco,1
England,France,1,2,Quarter-finals,2022-12-10,1–2,Qatar,2022,France,-1
Croatia,Brazil,1,1,Quarter-finals,2022-12-09,(4) 1–1 (2),Qatar,2022,Draw,0
Netherlands,Argentina,2,2,Quarter-finals,2022-12-09,(3) 2–2 (4),Qatar,2022,Draw,0
Morocco,Spain,0,0,Round of 16,2022-12-06,(3) 0–0 (0),Qatar,2022,Draw,0
Portugal,Switzerland,6,1,Round of 16,2022-12-06,6–1,Qatar,2022,Portugal,1
Japan,Croatia,1,1,Round of 16,2022-12-05,(1) 1–1 (3),Qatar,2022,Draw,0
Brazil,Korea Republic,4,1,Round of 16,2022-12-05,4–1,Qatar,2022,Brazil,1
France,Poland,3,1,Round of 16,2022-12-04,3–1,Qatar,2022,France,1
England,Senegal,3,0,Round of 16,2022-12-04,3–0,Qatar,2022,England,1
Argentina,Australia,2,1,Round of 16,2022-12-03,2–1,Qatar,2022,Argentina,1
Korea Republic,Portugal,2,1,Group stage,2022-12-02,2–1,Qatar,2022,Korea Republic,1
Serbia,Switzerland,2,3,Group stage,2022-12-02,2–3,Qatar,2022,Switzerland,-1
Canada,Morocco,1,2,Group stage,2022-12-01,1–2,Qatar,2022,Morocco,-1
Croatia,Belgium,0,0,Group stage,2022-12-01,0–0,Qatar,2022,Draw,0
Japan,Spain,2,1,Group stage,2022-12-01,2–1,Qatar,2022,Japan,1
Australia,Denmark,1,0,Group stage,2022-11-30,1–0,Qatar,2022,Australia,1
Poland,Argentina,0,2,Group stage,2022-11-30,0–2,Qatar,2022,Argentina,-1
Ecuador,Senegal,1,2,Group stage,2022-11-29,1–2,Qatar,2022,Senegal,-1
Netherlands,Qatar,2,0,Group stage,2022-11-29,2–0,Qatar,2022,Netherlands,1
Wales,England,0,3,Group stage,2022-11-29,0–3,Qatar,2022,England,-1
Brazil,Switzerland,1,0,Group stage,2022-11-28,1–0,Qatar,2022,Brazil,1
Portugal,Uruguay,2,0,Group stage,2022-11-28,2–0,Qatar,2022,Portugal,1
Belgium,Morocco,0,2,Group stage,2022-11-27,0–2,Qatar,2022,Morocco,-1
Croatia,Canada,4,1,Group stage,2022-11-27,4–1,Qatar,2022,Croatia,1
Spain,Germany,1,1,Group stage,2022-11-27,1–1,Qatar,2022,Draw,0
France,Denmark,2,1,Group stage,2022-11-26,2–1,Qatar,2022,France,1
Argentina,Mexico,2,0,Group stage,2022-11-26,2–0,Qatar,2022,Argentina,1
Wales,IR Iran,0,2,Group stage,2022-11-25,0–2,Qatar,2022,IR Iran,-1
Qatar,Senegal,1,3,Group stage,2022-11-25,1–3,Qatar,2022,Senegal,-1
Netherlands,Ecuador,1,1,Group stage,2022-11-25,1–1,Qatar,2022,Draw,0
Uruguay,Korea Republic,0,0,Group stage,2022-11-24,0–0,Qatar,2022,Draw,0
Brazil,Serbia,2,0,Group stage,2022-11-24,2–0,Qatar,2022,Brazil,1
Morocco,Croatia,0,0,Group stage,2022-11-23,0–0,Qatar,2022,Draw,0
Germany,Japan,1,2,Group stage,2022-11-23,1–2,Qatar,2022,Japan,-1
Belgium,Canada,1,0,Group stage,2022-11-23,1–0,Qatar,2022,Belgium,1
Mexico,Poland,0,0,Group stage,2022-11-22,0–0,Qatar,2022,Draw,0
France,Australia,4,1,Group stage,2022-11-22,4–1,Qatar,2022,France,1
England,IR Iran,6,2,Group stage,2022-11-21,6–2,Qatar,2022,England,1
Senegal,Netherlands,0,2,Group stage,2022-11-21,0–2,Qatar,2022,Netherlands,-1
Qatar,Ecuador,0,2,Group stage,2022-11-20,0–2,Qatar,2022,Ecuador,-1
France,Croatia,4,2,Final,2018-07-15,4–2,Russia,2018,France,1
Belgium,England,2,0,Third-place match,2018-07-14,2–0,Russia,2018,Belgium,1
Croatia,England,2,1,Semi-finals,2018-07-11,2–1,Russia,2018,Croatia,1
France,Belgium,1,0,Semi-finals,2018-07-10,1–0,Russia,2018,France,1
Sweden,England,0,2,Quarter-finals,2018-07-07,0–2,Russia,2018,England,-1
Russia,Croatia,2,2,Quarter-finals,2018-07-07,(3) 2–2 (4),Russia,2018,Draw,0
Uruguay,France,0,2,Quarter-finals,2018-07-06,0–2,Russia,2018,France,-1
Brazil,Belgium,1,2,Quarter-finals,2018-07-06,1–2,Russia,2018,Belgium,-1
Sweden,Switzerland,1,0,Round of 16,2018-07-03,1–0,Russia,2018,Sweden,1
Colombia,England,1,1,Round of 16,2018-07-03,(3) 1–1 (4),Russia,2018,Draw,0
Brazil,Mexico,2,0,Round of 16,2018-07-02,2–0,Russia,2018,Brazil,1
Belgium,Japan,3,2,Round of 16,2018-07-02,3–2,Russia,2018,Belgium,1
Spain,Russia,1,1,Round of 16,2018-07-01,(3) 1–1 (4),Russia,2018,Draw,0
Croatia,Denmark,1,1,Round of 16,2018-07-01,(3) 1–1 (2),Russia,2018,Draw,0
France,Argentina,4,3,Round of 16,2018-06-30,4–3,Russia,2018,France,1
Uruguay,Portugal,2,1,Round of 16,2018-06-30,2–1,Russia,2018,Uruguay,1
Japan,Poland,0,1,Group stage,2018-06-28,0–1,Russia,2018,Poland,-1
Senegal,Colombia,0,1,Group stage,2018-06-28,0–1,Russia,2018,Colombia,-1
England,Belgium,0,1,Group stage,2018-06-28,0–1,Russia,2018,Belgium,-1
Korea Republic,Germany,2,0,Group stage,2018-06-27,2–0,Russia,2018,Korea Republic,1
Mexico,Sweden,0,3,Group stage,2018-06-27,0–3,Russia,2018,Sweden,-1
Serbia,Brazil,0,2,Group stage,2018-06-27,0–2,Russia,2018,Brazil,-1
Australia,Peru,0,2,Group stage,2018-06-26,0–2,Russia,2018,Peru,-1
Denmark,France,0,0,Group stage,2018-06-26,0–0,Russia,2018,Draw,0
Nigeria,Argentina,1,2,Group stage,2018-06-26,1–2,Russia,2018,Argentina,-1
Uruguay,Russia,3,0,Group stage,2018-06-25,3–0,Russia,2018,Uruguay,1
Spain,Morocco,2,2,Group stage,2018-06-25,2–2,Russia,2018,Draw,0
IR Iran,Portugal,1,1,Group stage,2018-06-25,1–1,Russia,2018,Draw,0
England,Panama,6,1,Group stage,2018-06-24,6–1,Russia,2018,England,1
Japan,Senegal,2,2,Group stage,2018-06-24,2–2,Russia,2018,Draw,0
Poland,Colombia,0,3,Group stage,2018-06-24,0–3,Russia,2018,Colombia,-1
Korea Republic,Mexico,1,2,Group stage,2018-06-23,1–2,Russia,2018,Mexico,-1
Germany,Sweden,2,1,Group stage,2018-06-23,2–1,Russia,2018,Germany,1
Serbia,Switzerland,1,2,Group stage,2018-06-22,1–2,Russia,2018,Switzerland,-1
Denmark,Australia,1,1,Group stage,2018-06-21,1–1,Russia,2018,Draw,0
France,Peru,1,0,Group stage,2018-06-21,1–0,Russia,2018,France,1
Argentina,Croatia,0,3,Group stage,2018-06-21,0–3,Russia,2018,Croatia,-1
Portugal,Morocco,1,0,Group stage,2018-06-20,1–0,Russia,2018,Portugal,1
IR Iran,Spain,0,1,Group stage,2018-06-20,0–1,Russia,2018,Spain,-1
Colombia,Japan,1,2,Group stage,2018-06-19,1–2,Russia,2018,Japan,-1
Poland,Senegal,1,2,Group stage,2018-06-19,1–2,Russia,2018,Senegal,-1
Russia,Egypt,3,1,Group stage,2018-06-19,3–1,Russia,2018,Russia,1
Sweden,Korea Republic,1,0,Group stage,2018-06-18,1–0,Russia,2018,Sweden,1
Belgium,Panama,3,0,Group stage,2018-06-18,3–0,Russia,2018,Belgium,1
Germany,Mexico,0,1,Group stage,2018-06-17,0–1,Russia,2018,Mexico,-1
Brazil,Switzerland,1,1,Group stage,2018-06-17,1–1,Russia,2018,Draw,0
France,Australia,2,1,Group stage,2018-06-16,2–1,Russia,2018,France,1
Peru,Denmark,0,1,Group stage,2018-06-16,0–1,Russia,2018,Denmark,-1
Croatia,Nigeria,2,0,Group stage,2018-06-16,2–0,Russia,2018,Croatia,1
Egypt,Uruguay,0,1,Group stage,2018-06-15,0–1,Russia,2018,Uruguay,-1
Morocco,IR Iran,0,1,Group stage,2018-06-15,0–1,Russia,2018,IR Iran,-1
Portugal,Spain,3,3,Group stage,2018-06-15,3–3,Russia,2018,Draw,0
Germany,Argentina,1,0,Final,2014-07-13,1–0,Brazil,2014,Germany,1
Brazil,Netherlands,0,3,Third-place match,2014-07-12,0–3,Brazil,2014,Netherlands,-1
Netherlands,Argentina,0,0,Semi-finals,2014-07-09,(2) 0–0 (4),Brazil,2014,Draw,0
Brazil,Germany,1,7,Semi-finals,2014-07-08,1–7,Brazil,2014,Germany,-1
Argentina,Belgium,1,0,Quarter-finals,2014-07-05,1–0,Brazil,2014,Argentina,1
France,Germany,0,1,Quarter-finals,2014-07-04,0–1,Brazil,2014,Germany,-1
Brazil,Colombia,2,1,Quarter-finals,2014-07-04,2–1,Brazil,2014,Brazil,1
Argentina,Switzerland,1,0,Round of 16,2014-07-01,1–0,Brazil,2014,Argentina,1
France,Nigeria,2,0,Round of 16,2014-06-30,2–0,Brazil,2014,France,1
Germany,Algeria,2,1,Round of 16,2014-06-30,2–1,Brazil,2014,Germany,1
Netherlands,Mexico,2,1,Round of 16,2014-06-29,2–1,Brazil,2014,Netherlands,1
Colombia,Uruguay,2,0,Round of 16,2014-06-28,2–0,Brazil,2014,Colombia,1
Korea Republic,Belgium,0,1,Group stage,2014-06-26,0–1,Brazil,2014,Belgium,-1
Algeria,Russia,1,1,Group stage,2014-06-26,1–1,Brazil,2014,Draw,0
Nigeria,Argentina,2,3,Group stage,2014-06-25,2–3,Brazil,2014,Argentina,-1
Ecuador,France,0,0,Group stage,2014-06-25,0–0,Brazil,2014,Draw,0
Italy,Uruguay,0,1,Group stage,2014-06-24,0–1,Brazil,2014,Uruguay,-1
Japan,Colombia,1,4,Group stage,2014-06-24,1–4,Brazil,2014,Colombia,-1
Greece,Côte d'Ivoire,2,1,Group stage,2014-06-24,2–1,Brazil,2014,Greece,1
Australia,Spain,0,3,Group stage,2014-06-23,0–3,Brazil,2014,Spain,-1
Croatia,Mexico,1,3,Group stage,2014-06-23,1–3,Brazil,2014,Mexico,-1
Belgium,Russia,1,0,Group stage,2014-06-22,1–0,Brazil,2014,Belgium,1
Korea Republic,Algeria,2,4,Group stage,2014-06-22,2–4,Brazil,2014,Algeria,-1
