team1,team2,team1_elo_before,team2_elo_before,elo_diff_before,expected_team1_win,goal_margin_factor,team1_elo_after,team2_elo_after,elo_change_team1,elo_change_team2,result_numeric
Argentina,France,1867.25,1859.78,7.470000000000027,0.5107485379735718,0.0,1867.25,1859.78,0.0,0.0,0
Croatia,Morocco,1691.59,1688.18,3.4099999999998545,0.5049072269099066,0.34657359027997264,1698.45344319566,1681.31655680434,6.863443195660011,-6.863443195660011,1
France,Morocco,1859.78,1681.31655680434,178.46344319565992,0.7363956349383338,0.5493061443340549,1865.571979896066,1675.524576908274,5.7919798960660955,-5.7919798960660955,1
Argentina,Croatia,1867.25,1698.45344319566,168.79655680434007,0.7254524558631228,0.6931471805599453,1874.8620742459254,1690.8413689497345,7.612074245925442,-7.612074245925442,1
Morocco,Portugal,1675.524576908274,1756.12,-80.59542309172593,0.3860504852690659,0.34657359027997264,1684.035724411112,1747.608852497162,8.511147502837957,-8.511147502837957,1
England,France,1813.81,1865.571979896066,-51.76197989606612,0.42605480896297093,0.34657359027997264,1807.9036262080663,1871.478353688,-5.9063737919336745,5.906373791933902,-1
Croatia,Brazil,1690.8413689497345,1775.85,-85.00863105026542,0.38004693470055895,0.0,1690.8413689497345,1775.85,0.0,0.0,0
Netherlands,Argentina,1747.55,1874.8620742459254,-127.31207424592549,0.32456585337004806,0.0,1747.55,1874.8620742459254,0.0,0.0,0
Morocco,Spain,1684.035724411112,1853.27,-169.23427558888807,0.27404597531898545,0.0,1684.035724411112,1853.27,0.0,0.0,0
Portugal,Switzerland,1747.608852497162,1625.16,122.44885249716185,0.6692671274361182,0.8958797346140275,1759.4607276211887,1613.3081248759734,11.85187512402672,-11.85187512402672,1
Japan,Croatia,1652.79,1690.8413689497345,-38.051368949734524,0.4454575786205332,0.0,1652.79,1690.8413689497345,0.0,0.0,0
Brazil,Korea Republic,1775.85,1585.45,190.39999999999986,0.7495156030413864,0.6931471805599453,1782.7949021410448,1578.5050978589552,6.9449021410448495,-6.9449021410448495,1
France,Poland,1871.478353688,1510.62,360.8583536880001,0.8886740034118958,0.5493061443340549,1873.9244358459982,1508.1739178420016,2.446082157998262,-2.446082157998262,1
England,Senegal,1807.9036262080663,1637.25,170.65362620806627,0.7275764865255404,0.6931471805599453,1815.4568098193886,1629.6968163886777,7.553183611322311,-7.553183611322311,1
Argentina,Australia,1874.8620742459254,1544.15,330.71207424592535,0.8703133011902475,0.34657359027997264,1876.6599136386476,1542.352160607278,1.7978393927221532,-1.7978393927221532,1
Korea Republic,Portugal,1578.5050978589552,1759.4607276211887,-180.95562976223346,0.2608289862741538,0.34657359027997264,1588.7521839412693,1749.2136415388745,10.247086082314127,-10.247086082314127,1
Serbia,Switzerland,1514.28,1613.3081248759734,-99.02812487597339,0.3612248930511273,0.34657359027997264,1509.272359676671,1618.3157651993024,-5.007640323329042,5.007640323329042,-1
