team1,team2,team1_score,team2_score,result_numeric,team1_rank,team2_rank,rank_diff,team1_elo,team2_elo,elo_diff
Argentina,France,3,3,0,1,2,-1,1867.25,1859.78,7.470000000000027
Croatia,Morocco,2,1,1,13,14,-1,1691.59,1688.18,3.4099999999998545
France,Morocco,2,0,1,2,14,-12,1859.78,1688.18,171.5999999999999
Argentina,Croatia,3,0,1,1,13,-12,1867.25,1691.59,175.66000000000008
Morocco,Portugal,1,0,1,14,6,8,1688.18,1756.12,-67.93999999999983
England,France,1,2,-1,4,2,2,1813.81,1859.78,-45.97000000000003
Croatia,Brazil,1,1,0,13,5,8,1691.59,1775.85,-84.25999999999999
Netherlands,Argentina,2,2,0,7,1,6,1747.55,1867.25,-119.70000000000005
Morocco,Spain,0,0,0,14,3,11,1688.18,1853.27,-165.08999999999992
Portugal,Switzerland,6,1,1,6,20,-14,1756.12,1625.16,130.9599999999998
Japan,Croatia,1,1,0,15,13,2,1652.79,1691.59,-38.79999999999996
Brazil,Korea Republic,4,1,1,5,23,-18,1775.85,1585.45,190.39999999999984
France,Poland,3,1,1,2,35,-33,1859.78,1510.62,349.1600000000001
England,Senegal,3,0,1,4,17,-13,1813.81,1637.25,176.55999999999997
Argentina,Australia,2,1,1,1,26,-25,1867.25,1544.15,323.0999999999999
Korea Republic,Portugal,2,1,1,23,6,17,1585.45,1756.12,-170.66999999999985
Serbia,Switzerland,2,3,-1,32,20,12,1514.28,1625.16,-110.88000000000012
Canada,Morocco,1,2,-1,31,14,17,1515.96,1688.18,-172.22000000000003
Croatia,Belgium,0,0,0,13,8,5,1691.59,1740.62,-49.02999999999997
Japan,Spain,2,1,1,15,3,12,1652.79,1853.27,-200.48
Australia,Denmark,1,0,1,26,21,5,1544.15,1611.49,-67.33999999999992
Poland,Argentina,0,2,-1,35,1,34,1510.62,1867.25,-356.6300000000001
Ecuador,Senegal,1,2,-1,24,17,7,1560.13,1637.25,-77.11999999999989
Netherlands,Qatar,2,0,1,7,48,-41,1747.55,1474.6,272.95000000000005
Wales,England,0,3,-1,29,4,25,1534.39,1813.81,-279.41999999999985
Brazil,Switzerland,1,0,1,5,20,-15,1775.85,1625.16,150.68999999999983
Portugal,Uruguay,2,0,1,6,11,-5,1756.12,1695.91,60.20999999999981
Belgium,Morocco,0,2,-1,8,14,-6,1740.62,1688.18,52.43999999999983
Croatia,Canada,4,1,1,13,31,-18,1691.59,1515.96,175.62999999999988
Spain,Germany,1,1,0,3,10,-7,1853.27,1703.79,149.48000000000002
France,Denmark,2,1,1,2,21,-19,1859.78,1611.49,248.29
Argentina,Mexico,2,0,1,1,19,-18,1867.25,1627.4,239.8499999999999
Wales,IR Iran,0,2,-1,29,18,11,1534.39,1635.31,-100.91999999999985
Qatar,Senegal,1,3,-1,48,17,31,1474.6,1637.25,-162.6500000000001
Netherlands,Ecuador,1,1,0,7,24,-17,1747.55,1560.13,187.41999999999985
Uruguay,Korea Republic,0,0,0,11,23,-12,1695.91,1585.45,110.46000000000004
Brazil,Serbia,2,0,1,5,32,-27,1775.85,1514.28,261.56999999999994
Morocco,Croatia,0,0,0,14,13,1,1688.18,1691.59,-3.4099999999998545
Germany,Japan,1,2,-1,10,15,-5,1703.79,1652.79,51.0
Belgium,Canada,1,0,1,8,31,-23,1740.62,1515.96,224.65999999999983
Mexico,Poland,0,0,0,19,35,-16,1627.4,1510.62,116.7800000000002
France,Australia,4,1,1,2,26,-24,1859.78,1544.15,315.6299999999999
England,IR Iran,6,2,1,4,18,-14,1813.81,1635.31,178.5
Senegal,Netherlands,0,2,-1,17,7,10,1637.25,1747.55,-110.29999999999995
Qatar,Ecuador,0,2,-1,48,24,24,1474.6,1560.13,-85.5300000000002
